,age,is_selfie_verified,gender,schools,city,show_gender_on_profile,relationship_intent,sexual_orientations,hide_age,hide_distance,is_traveling,custom_gender,zodiac_sign,height,education_level,relationship_type,workout,professions,company_name,has_face
0,21.0,False,,University of Groningen,Groningen,0.0,,,,,,,Virgo,,,,,,,True
1,21.0,False,,,,0.0,Long-term partner,,,,,,,,,,,,,True
2,23.0,False,,University of Groningen,,0.0,,,,,,,Virgo,,,,,,,True
3,23.0,False,,Rijksuniversiteit Groningen,Groningen,0.0,,,,,,,,,Masters,,,,,True
4,24.0,True,,Universiteit van Amsterdam,,0.0,,,,,,,,,,,,,,True
5,25.0,False,,,Groningen,0.0,Still figuring it out,,,,,,Pisces,,,Monogamy,Often,Burger met studentenleven,LAVG,True
6,23.0,False,,Rijksuniversiteit Groningen,Groningen,0.0,Still figuring it out,,,,,,,176.0,Bachelors,,Often,Klantadviseur,Webhelp Groningen,True
7,21.0,True,,Hanze University of Applied Sciences Groningen,Groningen,0.0,"Short-term, open to long",,,,,,Libra,,In College,Monogamy,,Junior Assistent Accountant,,True
8,24.0,True,,Hanzehogeschool Groningen,Groningen,0.0,Still figuring it out,,,,,,,,,,Often,"[{'company': {'name': 'Grand Café Time Out'}, 'title': None}]",Grand Café Time Out,True
9,25.0,False,,Hanzehogeschool Groningen,,0.0,,,,,,,Aquarius,,In Grad School,,,,,True
10,26.0,True,,Rijksuniversiteit Groningen,Groningen,0.0,,,,,,,Gemini,178.0,Masters,Monogamy,Often,"[{'company': {'name': 'UMCG'}, 'title': None}]",UMCG,True
11,24.0,False,,,,0.0,Still figuring it out,,,,,,,,,,,,,True
12,23.0,True,,Hanzehogeschool Groningen,Groningen,0.0,,,,,,,Aries,,Bachelors,,Sometimes,"[{'company': {'name': 'HMB'}, 'title': None}]",HMB,True
13,24.0,True,,,,0.0,,,,,,,Libra,,In Grad School,,Often,Verpleegkundige,,True
14,21.0,False,,Hanzehogeschool Groningen,Groningen,0.0,Still figuring it out,,,,,,,,,,,,,True
15,21.0,False,,NHL Hogeschool,Groningen,0.0,Still figuring it out,,,,,,Cancer,,In Grad School,,,,,True
16,20.0,False,,Hanzehogeschool Groningen,Groningen,0.0,Still figuring it out,Straight,,,,,Capricorn,174.0,In Grad School,Monogamy,Sometimes,Lerares,,True
17,20.0,False,,Rijksuniversiteit Groningen,,0.0,Still figuring it out,,,,,,,,,,,,,True
18,21.0,True,F,Hanze University of Applied Sciences Groningen,Groningen,1.0,Still figuring it out,Straight,,,,,Libra,175.0,,Open to exploring,Sometimes,Sales advisor,,True
19,25.0,False,,,,0.0,Long-term partner,,,,,,,,,,,,,True
20,21.0,False,F,Hanzehogeschool Groningen,Groningen,1.0,,,,,,,,,,,,,,True
21,25.0,True,,Hanzehogeschool Groningen,,0.0,,,,,,,,174.0,,,,Student,,True
22,23.0,False,,Alfa College,Groningen,0.0,"Long-term, open to short",,0.0,0.0,,,Aries,163.0,Trade School,,Sometimes,In de zorg,,False
